Number,Name
1,X
2,Y
3,Layer
4,Sublayer
5,Xi
6,ElementID
7,Depth
8,Optimization Quality
9,Dip Angle X
10,"Seismic Velocity, Vs"
11,"Seismic Velocity, Vp"
12,Equivalent Mud Weight: Lithostatic Pressure
13,Lithostatic Pressure
14,Equivalent Mud Weight: Hydrostatic Pressure
15,Hydrostatic Pressure from Water Table
16,Hydrostatic Pressure
17,Overpressure
18,Pore Pressure
19,Pore Pressure Gradient
20,Equivalent Mud Weight: Pore Pressure
21,Overpressure (Cell)
22,Pore Pressure (Cell)
23,Overpressure (Hydrostatic Salt)
24,Pore Pressure (Hydrostatic Salt)
25,Effective Stress (Terzaghi)
26,Maximum Effective Stress (Terzaghi)
27,Fracture Pressure
28,Equivalent Mud Weight: Fracture Pressure
29,HC Generation Pressure
30,Equivalent Mud Weight: HC Generation Pressure
31,Fracturing
32,Compressibility (Terzaghi)
33,Water Viscosity
34,Clay Content
35,Age of Deposition
36,Salinity
37,pH
38,Sublayer Index
39,PSE Simulator
40,PSE Input
41,Capillary Entry Pressure Hg-Air
42,Capillary Entry Pressure Oil-Water
43,Capillary Entry Pressure Gas-Water
44,Sedimentation Rate
45,Heat Capacity
46,Disequilibrium Temperature
47,Temperature
48,Maximum Temperature
49,Permafrost
50,Temperature Gradient
51,Heat Flow
52,Basal Heat Flow
53,Vertical Thermal Conductivity
54,Horizontal Thermal Conductivity
55,Bulk Density
56,Radioactive Heat Production
57,Biodegradation Risk
58,Average Geothermal Gradient
59,Rock Vertical Thermal Conductivity
60,Gas Hydrate Stability Zone
61,Surface Heat Flow
62,Heating Rate
63,SteraneIso_Mackenzie&McKenzie(1983)
64,HopaneIso_Mackenzie&McKenzie(1983)
65,SteraneAro_Mackenzie&McKenzie(1983)
66,SteraneIso_Rullkoetter&Marzi(1989)
67,HopaneIso_Rullkoetter&Marzi(1989)
68,SteraneAro_Rullkoetter&Marzi(1989)
69,SteraneIso_Sajgo&Lefler(1986)
70,HopaneIso_Sajgo&Lefler(1986)
71,SteraneAro_Sajgo&Lefler(1986)
72,Sweeney&Burnham(1990)_EASY%Ro
73,Larter(1989)_%Ro
74,Dutta(1986)_Illite
75,Pytte&Reynolds(1989)_Illite
76,TR_Burnham(1989)_TII
77,Comp_PetroMod Gas_Burnham(1989)_TII
78,Comp_PetroMod Oil_Burnham(1989)_TII
79,Zone_Burnham(1989)_TII
80,HI_Burnham(1989)_TII
81,TR_Burnham(1989)_TIII
82,Comp_PetroMod Gas_Burnham(1989)_TIII
83,Comp_PetroMod Oil_Burnham(1989)_TIII
84,Zone_Burnham(1989)_TIII
85,HI_Burnham(1989)_TIII
86,TTI
87,TTIGoeff
88,Layer Thickness
89,Water Depth
90,Burial Depth
91,Tectonic Subsidence
92,Area
93,Cell Volume
94,Pore Volume
95,Rock Volume
96,Rock Mass
97,TR (all)
98,Critical Moment
99,initial TOC
100,initial HI (all)
101,HI (all)
102,TOC
103,Porosity (effective)
104,"Porosity (effective, node)"
105,Vertical Permeability
106,Horizontal Permeability
107,Liquid Saturation
108,Vapor Saturation
109,Petroleum Saturation
110,Break Through Path
111,Accumulation ID
112,Relative Permeability Water
113,Relative Permeability Oil
114,Relative Permeability Gas
115,Liquid Mass: Bulk
116,Liquid Mass: Oil
117,Liquid Mass: Gas
118,Liquid Mass: PetroMod Gas
119,Liquid Mass: PetroMod Oil
120,Vapor Mass: Bulk
121,Vapor Mass: Oil
122,Vapor Mass: Gas
